min_avg_RSS12_1,max_avg_RSS12_1,mean_avg_RSS12_1,median_avg_RSS12_1,standard deviation_avg_RSS12_1,1st quart_avg_RSS12_1,3rd quart_avg_RSS12_1,min_var_RSS12_1,max_var_RSS12_1,mean_var_RSS12_1,median_var_RSS12_1,standard deviation_var_RSS12_1,1st quart_var_RSS12_1,3rd quart_var_RSS12_1,min_avg_RSS13_1,max_avg_RSS13_1,mean_avg_RSS13_1,median_avg_RSS13_1,standard deviation_avg_RSS13_1,1st quart_avg_RSS13_1,3rd quart_avg_RSS13_1,min_var_RSS13_1,max_var_RSS13_1,mean_var_RSS13_1,median_var_RSS13_1,standard deviation_var_RSS13_1,1st quart_var_RSS13_1,3rd quart_var_RSS13_1,min_avg_RSS23_1,max_avg_RSS23_1,mean_avg_RSS23_1,median_avg_RSS23_1,standard deviation_avg_RSS23_1,1st quart_avg_RSS23_1,3rd quart_avg_RSS23_1,min_var_RSS23_1,max_var_RSS23_1,mean_var_RSS23_1,median_var_RSS23_1,standard deviation_var_RSS23_1,1st quart_var_RSS23_1,3rd quart_var_RSS23_1,bending
0,40.67,39.5061875,39.5,1.817498409,39.5,39.67,0,1,0.496479167,0.5,0.145545908,0.47,0.5,0,13.25,6.550083333,7,2.60708141,4.5,8.75,0,4.03,0.823854167,0.5,0.760193869,0.43,1.12,0,16.25,11.765625,12,2.336680287,11.33,13,0,3.19,0.622916667,0.5,0.498888779,0.43,0.87,0
39,40,39.43379167,39.5,0.208557523,39.33,39.5,0,1,0.422104167,0.47,0.160379084,0.43,0.5,0,12.2,5.841145833,6,3.497858298,3,8.75,0,3.27,0.399020833,0.43,0.438666702,0,0.5,0,18,10.89745833,11.5,3.321621677,9,12.33,0,4.06,0.582708333,0.5,0.43844163,0.43,0.83,0
39,40,39.34710417,39.33,0.231405232,39.25,39.5,0,0.5,0.366395833,0.47,0.195814581,0.43,0.5,0,11.33,4.382208333,4.5,2.456798951,2.5,6,0,3.54,0.502916667,0.47,0.504672358,0,0.71,7,18.67,16.2123125,16.75,2.223355217,15.75,17.67,0,3.5,0.588458333,0.5,0.423434755,0.43,0.83,0
39,56.25,47.325125,42.67,5.961280283,42,54,0,8.49,0.2743125,0,0.562728911,0,0.47,0,18.25,9.5319375,10.75,3.987097588,6,12.75,0,5.72,0.785729167,0.5,0.811636076,0.43,1,0,21,14.299125,14,4.142132425,11.75,18,0,5.72,0.766166667,0.5,0.723953058,0.43,1,0
23.5,30,27.716375,27.5,1.442253436,27,29,0,1.79,0.3636875,0.43,0.394817082,0,0.5,0,13.25,6.078104167,6.25,3.468655042,3.5,8.33,0,5.02,0.870041667,0.82,0.777419584,0.43,1.2625,0,21,8.337020833,8.75,4.074453545,5.5,10.75,0,4.5,0.735395833,0.71,0.612833736,0.43,1,0
48,48.25,48.00416667,48,0.032038164,48,48,0,0.43,0.007166667,0,0.055105643,0,0,0,13,4.9005625,5.5,2.566428982,3,6.25,0,2.86,0.3973125,0.43,0.447126836,0,0.5,0,12,7.624895833,9,3.268502302,4.67,10,0,2.5,0.641229167,0.5,0.388372158,0.46,0.83,0
39,41,39.66783333,39.5,0.280157824,39.5,39.75,0,1,0.583604167,0.5,0.194584643,0.5,0.71,0,15,10.83420833,12,2.469507612,10.25,12,0,2.49,0.3474375,0.43,0.409144808,0,0.5,0,14.5,5.779479167,5.75,4.097351446,1.6275,9.33,0,3.49,0.6359375,0.5,0.608399416,0,0.83,0
39,40,39.43379167,39.5,0.208557523,39.33,39.5,0,1,0.422104167,0.47,0.160379084,0.43,0.5,0,12.2,5.841145833,6,3.497858298,3,8.75,0,3.27,0.399020833,0.43,0.438666702,0,0.5,0,18,10.89745833,11.5,3.321621677,9,12.33,0,4.06,0.582708333,0.5,0.43844163,0.43,0.83,0
39,56.25,47.325125,42.67,5.961280283,42,54,0,8.49,0.2743125,0,0.562728911,0,0.47,0,18.25,9.5319375,10.75,3.987097588,6,12.75,0,5.72,0.785729167,0.5,0.811636076,0.43,1,0,21,14.299125,14,4.142132425,11.75,18,0,5.72,0.766166667,0.5,0.723953058,0.43,1,0
23.5,30,27.716375,27.5,1.442253436,27,29,0,1.79,0.3636875,0.43,0.394817082,0,0.5,0,13.25,6.0785625,6.25,3.468994219,3.5,8.33,0,5.02,0.871020833,0.82,0.777399981,0.43,1.2625,0,21,8.3374375,8.75,4.074511216,5.5,10.75,0,4.5,0.734270833,0.71,0.613688232,0.43,1,0
